,p_same,baseline,contagion_strength
sadness,0.20930232558139536,0.057874420998455994,0.15142790458293937
neutral,0.4221139943687695,0.40030880082346887,0.02180519354530064
joy,0.2813162705667276,0.28620689655172415,-0.004890625984996566
anger,0.19004725339633785,0.19644879053010808,-0.00640153713377023
fear,0.0,0.021538857436953166,-0.021538857436953166
other_negative,0.0,0.03762223365928976,-0.03762223365928976
