emotion_parent,anger,fear,joy,neutral,other_negative,sadness
anger,0.19004725339633785,0.045186060248080334,0.3043414057885411,0.3561724748966332,0.0922917897223863,0.011961015948021264
fear,0.16292541636495295,0.0,0.22157856625633598,0.6154960173787111,0.0,0.0
joy,0.20424131627056671,0.016453382084095063,0.2813162705667276,0.3512979890310786,0.03290676416819013,0.11378427787934187
neutral,0.16878471957994065,0.006163914466174568,0.3502016589300662,0.4221139943687695,0.029449813560611826,0.02328589909443726
other_negative,0.20008233841086867,0.0,0.12597776862906546,0.6739398929600658,0.0,0.0
sadness,0.4274965800273598,0.1538987688098495,0.0,0.20930232558139536,0.0,0.20930232558139536
