emotion_parent,anger,fear,joy,neutral,other_negative,sadness
anger,0.22857142857142856,0.05714285714285714,0.4,0.2571428571428571,0.02857142857142857,0.02857142857142857
fear,0.2,0.0,0.4,0.4,0.0,0.0
joy,0.14285714285714285,0.015873015873015872,0.38095238095238093,0.3333333333333333,0.031746031746031744,0.09523809523809523
neutral,0.15942028985507245,0.014492753623188406,0.34782608695652173,0.4057971014492754,0.043478260869565216,0.028985507246376812
other_negative,0.3,0.0,0.2,0.5,0.0,0.0
sadness,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333
