,p_same,baseline,contagion_strength
sadness,0.3333333333333333,0.05851063829787234,0.274822695035461
anger,0.22857142857142856,0.17553191489361702,0.05303951367781154
neutral,0.4057971014492754,0.35638297872340424,0.049414122725871146
joy,0.38095238095238093,0.35106382978723405,0.02988855116514688
fear,0.0,0.026595744680851064,-0.026595744680851064
other_negative,0.0,0.031914893617021274,-0.031914893617021274
